nombre	male
ALTAGRACIA	0
ALTEA	0
ALVA	0
ALVARINA	0
AMA	0
AMABEL	0
AMABEL RAFAELA	0
AMABILIA	0
AMAD	0
AMADA	0
AMADEA	0
AMADORA	0
AMAELIA	0
AMAGOIA	0
AMAGOYA	0
AMAIA	0
AMAIKA	0
AMAIUR	0
AMALA	0
AMALIA	0
AMALIA BERTA	0
AMALIA DE SANTISIMA TRINIDAD	0
AMALIA MARIA	0
AMALUR	0
AMANCIA	0
AMANDA	0
AMANECER	0
AMANEIXER	0
AMANTINA	0
AMAPARO	0
AMAR	0
AMARA	0
AMARANTA	0
AMARANTE	0
AMAYA	0
AMAYA ANTONIA	0
AMAYA LUISA	0
AMAYA MARIA	0
AMAYRA	0
AMBROSIA	0
AMELIA	0
AMELIA MARIA	0
AMELIA MARIA ASUNCION	0
AMELIA MARTA A	0
AMELINA	0
AMERICA	0
AMILIA	0
AMINA	0
AMOR	0
AMPAR	0
AMPARO	0
AMPARO BIENVENIDA	0
AMPARO DE LOS ANGELES	0
AMPARO MARIA	0
AMRIA	0
AMY	0
ANA	0
ANA	0
ANA  MARIA	0
ANA AIRMA	0
ANA ALEJANDRA	0
ANA ANTONIA	0
ANA ARACELI	0
ANA ARGELIA	0
ANA AURELIA	0
ANA AURORA	0
ANA BARBARA	0
ANA BEATRIZ	0
ANA BELEN	0
ANA BELEN DE	0
ANA BELLA	0
ANA BENITA	0
ANA BLANCA	0
ANA CARMEN	0
ANA CAROLINA	0
ANA CATALINA	0
ANA CECILIA	0
ANA CONCEPCION	0
ANA CONSUELO	0
ANA CRISTINA	0
ANA DACIL	0
ANA DALIA	0
ANA DELIA	0
ANA DOLORES	0
ANA ELENA	0
ANA ENCARNACION	0
ANA ESMERALDA	0
ANA ESTHER	0
ANA EULALIA	0
ANA EVA	0
ANA GLORIA	0
ANA INMACULADA	0
ANA ISABEL	0
ANA ISABEL DE LA	0
ANA ISABEL DEL	0
ANA JESUS	0
ANA JOSE	0
ANA JOSEFA	0
ANA LARA	0
ANA LAURA	0
ANA LIBERTAD	0
ANA LOURDES	0
ANA LUCIA	0
ANA LUISA	0
ANA LUZ	0
ANA LYLIANA	0
ANA MA	0
ANA MA DEL ROCI	0
ANA MACARENA	0
ANA MAGDALENA	0
ANA MANUELA	0
ANA MARGARITA	0
ANA MARIA	0
ANA MARIA DE	0
ANA MARIA DEL CARMEN	0
ANA MARIA DEL ROCIO	0
ANA MARIA ESTRELLA	0
ANA MARIA HORTENSIA	0
ANA MARIA PILAR	0
ANA MARIA ROCIO	0
ANA MARIA VICTORIA	0
ANA MARINA	0
ANA MARTA	0
ANA MERCEDES	0
ANA MIREN	0
ANA MIREYA	0
ANA MONTSERRAT	0
ANA NATALIA	0
ANA PAULA	0
ANA PILAR	0
ANA RAQUEL	0
ANA ROSA	0
ANA SARAH	0
ANA SILVIA	0
ANA TERESA	0
ANA VANESA	0
ANA VANESSA	0
ANA VEGA	0
ANA VERONICA	0
ANA VICTORIA	0
ANA YOLANDA	0
ANABEL	0
ANABEL RAFAELA	0
ANABELA	0
ANABELL	0
ANABELLA	0
ANAELCA	0
ANAHI	0
ANAHI MONICA	0
ANAI	0
ANAIS	0
ANALEN	0
ANALIA	0
ANALUY	0
ANAMARIA	0
ANAN	0
ANANDA	0
ANARBELLA	0
ANARCA	0
ANARTZ	0
ANASTACIA	0
ANASTASIA	0
ANATALIA	0
ANAVICENTA	0
ANCA	0
ANDA	0
ANDAMANA	0
ANDIMA	0
ANDRA	0
ANDREA	0
ANDREA ROSWITNA	0
ANDREEA	0
ANDRESA	0
ANDRIANGELA	0
ANE	0
ANELEY	0
ANE MAITE	0
ANE MIREN	0
ANETTE	0
ANG.MARIA	0
ANGELA	0
ANGELA ASCENSION	0
ANGELA IRENE	0
ANGELA M.	0
ANGELA MARIA	0
ANGELA VICTORIA	0
ANGELALMANSILLA	0
ANGELES	0
ANGELES DE LA	0
ANGELES DEL CARMEN	0
ANGELES LOURDES	0
ANGELES RAQUEL	0
ANGELES SONIA	0
ANGELIA	0
ANGELICA	0
ANGELIKA	0
ANGELINA	0
ANGELINES	0
ANGELIQUE	0
ANGELITA	0
ANGELS	0
ANGELY	0
ANGIE	0
ANGUSTIA	0
ANGUSTIAS	0
ANGUSTINA	0
ANHUSKA	0
ANHUXKA	0
ANI	0
ANIA	0
ANIAGA	0
ANIAGUA	0
ANIANA	0
ANICETA	0
ANISIA	0
ANISSA	0
ANITA	0
ANJA	0
ANJARA	0
ANKARA	0
ANN	0
ANNA	0
ANNABEL	0
ANNAIS	0
ANNALY	0
ANNE	0
ANNEGRET	0
ANNEROSE	0
ANNETTE	0
ANNIA	0
ANNICK	0
ANNIE	0
ANNIKA	0
ANNROSE	0
ANOIA	0
ANSELMA	0
ANTARES	0
ANTERA	0
ANTIA	0
ANTIGUA	0
ANTOINETTE	0
ANTOLINA	0
ANTONA	0
ANTONETA	0
ANTONIA	0
ANTONIA CINTA	0
ANTONIA ESTER	0
ANTONIA PAZ	0
ANTONIA RAQUEL	0
ANTONIETA	0
ANTONIETTA	0
ANTONINA	0
ANTOITA	0
ANUNCIA	0
ANUNCIACION	0
ANUNCIADA	0
ANUNCY	0
ANUSKA	0
ANXELA	0
ANXOS	0
ANYELA	0
AOUATIF	0
AOUICHA	0
APOL.LONIA	0
APOL-LONIA	0
APOLONIA	0
APOLULONIA	0
AQUILINA	0
AQULINA	0
ARA	0
ARA.	0
ARABELA	0
ARABELA CARMEN	0
ARABIA	0
ARACELI	0
ARACELI MARIA	0
ARACELULI	0
ARACELY	0
ARAIDA	0
ARAITZ	0
ARAMITA	0
ARANCELI	0
ARANCHA	0
ARANTXA	0
ARANTXAZU	0
ARANTZA	0
ARANTZAZU	0
ARANZA	0
ARANZARU	0
ARANZAZU	0
ARANZAZU LUCIA	0
ARANZAZU MARIA	0
ARATNXA	0
ARBIL	0
ARCADIA	0
ARCANGELINA	0
ARGELIA	0
ARGELINA	0
ARGENTINA	0
ARGIA	0
ARGIMIRA	0
ARGIE	0
ARHAMIS	0
ARIA	0
ARIADNA	0
ARIADNA MARIA	0
ARIADNE	0
ARIAGONA	0
ARIAN	0
ARIANA	0
ARIANNA	0
ARIANNE	0
ARIELLE	0
ARISTADA	0
ARISTIDA	0
ARISTINA	0
ARITZA	0
ARLETTE	0
ARLINDA	0
ARLINDO	0
ARMELITA	0
ARMELLE	0
ARMINDA	0
ARMONIA	0
AROA	0
AROHA	0
AROIA	0
AROLA	0
ARPENIK	0
ARRANZAZU	0
ARRATE	0
ARRITOKIETA	0
ARRITXU	0
ARSENIA	0
ARSILIA	0
ARTEMIA	0
ARTEMIS	0
ARUME	0
ASCENCION	0
ASCENSI0N	0
ASCENSIO	0
ASCENSION	0
ASENCIO	0
ASHA	0
ASIA	0
ASISA	0
ASKOA	0
ASMA	0
ASPASIA	0
ASSUMPCIO	0
ASSUMPTA	0
ASSUN	0
ASSUNCIO	0
ASTERIA	0
ASTRID	0
ASUMCIO	0
ASUN	0
ASUNCION	0
ASUNCION CRISTINA	0
ASUNCION ENCARNA	0
ASUNCION ENCARNACION	0
ASUNCION ROCIO	0
ASUNSION	0
ASUNTA	0
ATALIA	0
ATANASIA	0
ATENAIS	0
ATENEA	0
ATILANA	0
ATILLA	0
AUDAL	0
AUDELINA	0
AUDREY	0
AUGUSTA	0
AUKJE	0
AULETTE	0
AURA	0
AURA MARIA	0
AUREA	0
AUREA MARIA	0
AURELIA	0
AURELIANA	0
AURIA	0
AURINA	0
AURITA	0
AURKENE	0
AURORA	0
AURORA CARLOTA	0
AURORA ESTHER	0
AURORA ISABEL	0
AURORA MARIA	0
AURORI	0
AUSENCIA	0
AUSRA	0
AUXILIADORA	0
AVE	0
AVELINA	0
AVENCIA	0
AVIA	0
AYDA	0
AYMARA	0
AYNA	0
AYTHAMI	0
AZAHAR	0
AZAHARA	0
AZAHARA ANA	0
AZAHARA MARIA	0
AZIBAR	0
AZNARA	0
AZORAIDA	0
AZUCENA	0
AZUZENA	0
BACARDI	0
BAGICHA	0
BAGOA	0
BAKARNE	0
BALBIANA	0
BALBINA	0
BALBINE	0
BALDOMERA	0
BALMA	0
BALTASARA	0
BANESA	0
BARABARA	0
BARBARA	0
BARBARA IRENE	0
BARBARA ISABEL	0
BARBARA MARIA	0
BARTOLINA	0
BARTOLOMEA	0
BARTOMEVA	0
BASILIA	0
BASILISA	0
BAUDILIA	0
BAYO	0
BEARIZ	0
BEATRIC	0
BEATRICE	0
BEATRIU	0
BEATRIZ	0
BEATRIZ ADELA	0
BEATRIZ AMPARO	0
BEATRIZ CARMEN	0
BEATRIZ DE LA	0
BEATRIZ DE LAS NIEVES	0
BEATRIZ DOLORES	0
BEATRIZ DOLORRES	0
BEATRIZ EVA	0
BEATRIZ INMACULADA	0
BEATRIZ ISABEL	0
BEATRIZ JOSE	0
BEATRIZ LETICIA	0
BEATRIZ LUCIA	0
BEATRIZ MARIA	0
BEATRIZ OLGA	0
BEATRIZ VICTORIA	0
BEATRIZU	0
BEATRIZ-VICTORIA	0
BEGO	0
BEGO/A	0
BEGONA	0
BEGONIA	0
BEGONYA	0
BEGOA	0
BEGOA	0
BEGOA ISABEL	0
BEGOA MARIA	0
BEGOA MARIA	0
BEL_N	0
BELARMINA	0
BELEN	0
BELEN ALICIA	0
BELEN CARIDAD	0
BELEN CRISTINA	0
BELEN MARIA	0
BELIA	0
BELINDA	0
BELINDE	0
BELISARI	0
BELKIS	0
BELLA	0
BELLINDA	0
BENAISA	0
BENAYGA	0
BENDICION	0
BENEDICTA	0
BENERO	1
BENICIA	0
BENIGNA	0
BENILDA	0
BENILDE	0
BENITA	0
BENJAMINA	0
BENTE	0
BERENGUELA	0
BERENICE	0
BERENICE CARMEN	0
BERIT	0
BERNA	0
BERNABELA	0
BERNADETA	0
BERNADETTE	0
BERNARDA	0
BERNARDETTE	0
BERNARDINA	0
BERNARDITA	0
BERNINA	0
BERONICA	0
BERTA	0
BERTA AMPARO	0
BERTA MARIA	0
BERTHA	0
BERTILA	0
BERTINA	0
BERYL	0
BESTRIZ	0
BET	0
BETIANA	0
BETINA	0
BETEL	0
BETH	0
BETLEM	0
BETSABE	0
BETSAIDA	0
BETSIE	0
BETSY	0
BETTINA	0
BETTY	0
BETULIA	0
BEVERLEY	0
BIANCA	0
BIANKA	0
BIBIAN	0
BIBIANA	0
BIENVE	0
BIENVENIDA	0
BIOTZA	0
BIRGIT	0
BIRKIDE	0
BIRXITA	0
BITXORI	0
BJORK	0
BLAISE	0
BLAITHIN	0
BLANCA	0
BLANCA AIDA	0
BLANCA CARLOTA	0
BLANCA DEL CARMEN	0
BLANCA ELENA	0
BLANCA ESTER	0
BLANCA ESTHER	0
BLANCA GEMA	0
BLANCA IDOYA	0
BLANCA IRIS	0
BLANCA ISABEL	0
BLANCA MARIA	0
BLANCA MARTINA	0
BLANCA ROSA	0
BLANCA SOFIA	0
BLANCA SUSANA	0
BLANCA-NIEVES	0
BLANQUITA	0
BLASA	0
BLASA MARIA	0
BLASCA	0
BLASI	0
BLASINA	0
BLASINDA	0
BOLIVIA	0
BONANZA	0
BONDAD	0
BONIFACIA	0
BONNIE	0
BRAIS	0
BRANCA	0
BRAULIA	0
BRENDA	0
BRENDA ISABEL	0
BRENDAN	0
BRENEA	0
BRIGGITTE	0
BRIGIDA	0
BRIGITTA	0
BRIGITTE	0
BRIJIDA	0
BRINDIS	0
BRISA	0
BRISEIDA	0
BRUNA	0
CAFERINA	0
CAJSA	0
CALAMANDA	0
CALIXTA	0
CAMELIA	0
CAMEN	0
CAMI	0
CAMILA	0
CAMILA M	0
CAMILA MARGARITA	0
CAMILLA	0
CAMINO	0
CANCELARIA	0
CANCIANA	0
CANDELA	0
CANDELARIA	0
CANDELARIA DE LA CONCEPCION	0
CANDELARIA DE LAS NIEVES	0
CANDELARIA MA	0
CANDELARIA MARIA	0
CANDELAS	0
CANDIDA	0
CAOS	0
CAPILLA	0
CAPITOLINA	0
CARA	0
CARELS	0
CARIDAD	0
CARINA	0
CARINA PILAR	0
CARINE	0
CARIA	0
CARIO	0
CARITAT	0
CARLA	0
CARLA DE	0
CARLA MARIA	0
CARLA PAOLA	0
CARLINA	0
CARLOINA	0
CARLOINA ELVIRA	0
CARLONA	0
CARLOTA	0
CARLOTA NATIVIDAD	0
CARLOTA SOFIA	0
CARME	0
CARMEL	0
CARMELA	0
CARMELIA	0
CARMELINA	0
CARMEN	0
CARMEN ALICIA	0
CARMEN AMELIA	0
CARMEN ANA	0
CARMEN ANGELES	0
CARMEN ANGELES DEL	0
CARMEN BELEN	0
CARMEN BERTA	0
CARMEN BLANCA	0
CARMEN DE JESUS	0
CARMEN DE LAS NIEVES	0
CARMEN DOLORES	0
CARMEN ERIKA	0
CARMEN EUGENIA	0
CARMEN EUGENIA ROSA	0
CARMEN GEMA	0
CARMEN GEMMA	0
CARMEN GLORIA	0
CARMEN GUILIANA	0
CARMEN HILDA	0
CARMEN INES	0
CARMEN JESUS	0
CARMEN JULITA	0
CARMEN LETICIA	0
CARMEN LIDIA	0
CARMEN LUISA	0
CARMEN MARIA	0
CARMEN MYRIAN	0
CARMEN NOELIA	0
CARMEN NOEMI	0
CARMEN NURIA	0
CARMEN PALOMA	0
CARMEN PILAR	0
CARMEN ROSA	0
CARMEN ROSARIO	0
CARMEN TERESA	0
CARMEN VICTORIA	0
CARMINA	0
CARMITA	0
CAROL	0
CAROLA	0
CAROLA SOFIA	0
CAROLE	0
CAROLIN	0
CAROLINA	0
CAROLINA CLARA	0
CAROLINA ELVIRA	0
CAROLINA ESPERANZA	0
CAROLINA LUISA	0
CAROLINA MARIA	0
CAROLINA REBECA	0
CAROLINA VICTORIA	0
CAROLINA-ROSA	0
CAROLINE	0
CARRIE	0
CARRODILLA	0
CARTALINA	0
CASANDRA	0
CASIANA	0
CASILDA	0
CASIMIRA	0
CASSANDRA	0
CATALINA	0
CATALINA ASELA	0
CATALINA MARIA	0
CATARINA	0
CATERINA	0
CATHARINA	0
CATHAYSA	0
CATHERINA	0
CATHERINE	0
CATHY	0
CATI	0
CATIA	0
CATINA	0
CATRINA	0
CATUXA	0
CATY	0
CAYETANA	0
CECIA	0
CECIILIA	0
CECILA	0
CECILE	0
CECILIA	0
CECILIA MARGARITA	0
CECILIA MARIA	0
CEFERINA	0
CELEDONIA	0
CELENE	0
CELERINA	0
CELESTE	0
CELESTINA	0
CELI	0
CELIA	0
CELIA MARIA	0
CELIA SUSANA	0
CELIMA	0
CELINA	0
CELINDA	0
CELINE	0
CELINE-ODILE	0
CELINIA	0
CELIS	0
CELODONIA	0
CELSA	0
CELSA SANDRA	0
CENOBIA	0
CERDA	0
CESAREA	0
CHAARO	0
CHAMAIDA	0
CHAMAIDAD	0
CHANTAL	0
CHARLOTTE	0
CHARO	0
CHAVELI	0
CHAXIRAXI	0
CHAXIRAXY	0
CHAYA	0
CHELO	0
CHERES	0
CHEREZADE	0
CHIARA	0
CHIQUINQUIRA	0
CHRISTA	0
CHRISTIA	0
CHRISTIANE	0
CHRISTICA	0
CHRISTINE	0
CIARA	0
CIDALIA	0
CILILIA	0
CINCA	0
CINDIA	0
CINDY	0
CINTA	0
CINTHIA	0
CINTHYA	0
CINTIA	0
CIPRIANA	0
CIRA	0
CIRENIA	0
CIRENIA E	0
CIRENIA ENCARNACION	0
CIRIACA	0
CIRILA	0
CISTINA	0
CLAIRE	0
CLARA	0
CLARA BELEN	0
CLARA EUGENIA	0
CLARA INMACULADA	0
CLARA IRENE	0
CLARA ISABEL	0
CLARA MARIA	0
CLARE	0
CLARENCE	0
CLARIBEL	0
CLARIDAD	0
CLARISA	0
CLARISSA	0
CLAUDIA	0
CLAUDIA MARIA	0
CLAUDIA NATIVIDAD	0
CLAUDIA-FABIANA	0
CLAUDINA	0
CLAUDINE	0
CLAZA	0
CLEMENCIA	0
CLEMENTA	0
CLEMENTINA	0
CLEMIRA	0
CLINIA	0
CLIVE	0
CLORINDA	0
CLOTILDE	0
COCEPCION	0
COINTA	0
COLETTE	0
COLOMA	0
COLUMBA	0
COLUMBIANA	0
CONAL	0
CONCECPCION	0
CONCEPC.	0
CONCEPCI	0
CONCEPCIO	0
CONCEPCION	0
CONCEPCION AMEL	0
CONCEPCION AMELIA	0
CONCEPCION DE	0
CONCEPCION ISABEL	0
CONCEPCION JESUS	0
CONCEPCION M	0
CONCEPCION MA	0
CONCEPCION MACARENA	0
CONCEPCION MARIA	0
CONCEPCION MONICA	0
CONCEPCION PILAR	0
CONCEPCION ROSARIO	0
CONCEPCION RUT	0
CONCEPCION RUTH	0
CONCEPCION SABINA	0
CONCESA	0
CONCHA	0
CONCHI	0
CONCHIN	0
CONCHITA	0
CONCPCION	0
CONCPECIO	0
CONRADA	0
CONSAGRACION	0
CONSOL	0
CONSOLACION	0
CONSOLACION DEL CASTILO	0
CONSOLACION ENEDINA	0
CONSPCION	0
CONSTANA	0
CONSTANCIA	0
CONSTANTA	0
CONSTANTINA	0
CONSTANZA	0
CONSUELO	0
CONSUELO EUGENI	0
CONSUELO EUGENIA	0
CONSUELO-TERESA	0
CONTXITA	0
CONVERSION	0
CONXA	0
CONXI	0
CONXITA	0
CORA	0
CORAL	0
CORALI	0
CORALIA	0
CORANDA	0
CORAZON	0
CORINA	0
CORNELIA	0
CORO	0
COROMOTO	0
CORONA	0
CORONACION	0
CORONADA	0
CORPUS	0
CORSINA	0
COVADONGA	0
CRACIA	0
CRECENCIA	0
CRESCENCIA	0
CRESCENCIA DEL	0
CRESCENCIANA	0
CRESENCIA	0
CRETIDA	0
CRIMANESA	0
CRINA	0
CRIPTANA	0
CRIS	0
CRISANTA	0
CRISCELIA	0
CRISPINA	0
CRISTALINA	0
CRISTETA	0
CRISTHINA	0
CRISTIANA	0
CRISTIANE	0
CRISTINA	0
CRISTINA A	0
CRISTINA ALEJANDRA	0
CRISTINA BEATRI	0
CRISTINA BEATRIZ	0
CRISTINA BEGOA	0
CRISTINA BEGOA	0
CRISTINA CONCEPCION	0
CRISTINA DEL	0
CRISTINA DEL CARMEN	0
CRISTINA DEL MAR	0
CRISTINA ELOISA	0
CRISTINA EUGENIA	0
CRISTINA ISABEL	0
CRISTINA JULIA	0
CRISTINA LORENA	0
CRISTINA LUCRE	0
CRISTINA LUCRECIA	0
CRISTINA MARIA	0
CRISTINA MERCEDES	0
CRISTINA PILAR	0
CRISTINA REMEDIOS	0
CRISTINA SUSANA	0
CRISTINA ZORAIDA	0
CRISTNA	0
CRISTOBALINA	0
CRITINA	0
CUEVA	0
CUEVA SANTA	0
CUEVASANTA	0
CUSTODIA	0
CYNTHIA	0
CYNTIA	0
DACIL	0
DAFNE	0
DAGMAR	0
DAIDA	0
DALIA	0
DALILA	0
DAMARIS	0
DAMAYARIS	0
DAMELSA	0
DAMIA	0
DAMIANA	0
DAMIANA CRISTINA	0
DAMRIA	0
DANA	0
DANAE	0
DANIA	0
DANIELA	0
DANIELLE	0
DANIL	0
DANILA	0
DANIRET	0
DAOA	0
DAPHANIE	0
DARA	0
DARIA	0
DARITZA	0
DAURA	0
DAVINIA	0
DAVINIA DE LOS ANGELES	0
DAYANA	0
DAIANA	0
DAYCE	0
DAYSI	0
DEBLA	0
DEBORA	0
DEBORA FATIMA	0
DEBORACH	0
DEBORAH	0
DEBRA	0
DEIANE	0
DEINE	0
DEISSIRETT	0
DELCY	0
DELFINA	0
DELIA	0
DELIRIA	0
DELMELSA	0
DELMIRA	0
DELORES	0
DELPHINE	0
DELSY	0
DEMELSA	0
DEMELZA	0
DEMERIA	0
DEMETRIA	0
DEMIA	0
DENISA	0
DENISE	0
DENISSE	0
DEE	0
DEOGRACIA	0
DEOGRACIAS	0
DESAMAPARADOS	0
DESAMPARADOS	0
DESAMPARADOS JOSEFA	0
DESAMPARADOS LORENA	0
DESAMPARATS	0
DESCONSUELO	0
DESEADA	0
DESEMPARATS	0
DESI	0
DESIDERI	0
DESIDERIA	0
DESIRE	0
DESIREE	0
DESIREE ESTHER	0
DESIRRE	0
DESISLAVA	0
DESSIREE	0
DEUSDEDITE	0
DEVA	0
DEVORA	0
DEYANIRA	0
DIAMANTINA	0
DIAMAR	0
DIANA	0
DIANA MARIA	0
DIANA ROSA	0
DIANE	0
DIBLAYIM	0
DIGNA	0
DIGNORA	0
DILIANA	0
DIMITRINKA	0
DIMKA	0
DINA	0
DINAH	0
DINEL	0
DINESH	0
DINORA	0
DINORAH	0
DINORAH-EDELVEY	0
DINORAZ	0
DIONISA	0
DIONISIA	0
DIORICA	0
DIRGIS	0
DIRMA	0
DIVINA	0
DOINA	0
DOINITA	0
DOLA	0
DOLMA	0
DOLOR	0
DOLORE	0
DOLORES	0
DOLORES CRISTINA	0
DOLORES DAMIANA	0
DOLORES ENRIQUETA	0
DOLORES MARIA	0
DOLORES MILAGROS	0
DOLORES PALOMARES	0
DOLORES ROSARIO	0
DOLORES SUSANA	0
DOLORS	0
DOLORS(LOLI)	0
DOLPHINE	0
DOLSE	0
DOMINA	0
DOMINGA	0
DOMINICA	0
DOMITILA	0
DOMITILIA	0
DONATA	0
DONATELLA	0
DONELIA	0
DONETZINE	0
DONISIA	0
DONNA	0
DORA	0
DORADIA	0
DORALBA	0
DOREEN	0
DOREIDES	0
DORES	0
DORI	0
DORINDA	0
DORIS	0
DORITA	0
DORLETA	0
DOROTA	0
DOROTEA	0
DOROTHEE	0
DOROTHY	0
DORSEY	0
DORY	0
DORYBELL	0
DORYS	0
DOSINDA	0
DRISSIA	0
DULCE	0
DULCE ANA	0
DULCE MARIA	0
DULCE NOMBRE DE MARIA	0
DULCE NOMBRE MA	0
DULCENOMBRE	0
DULCINA	0
DULIA	0
DULSE	0
DUNIA	0
DUNIA MARIA	0
DUIKE	0
DUSANKA	0
DUSTIN	1
DYANA	0
EBA	0
EBELIA	0
EDDA	0
EDDITH	0
EDELFINA	0
EDELMIRA	0
EDILBERTA	0
EDILIA	0
EDITA	0
EDITH	0
EDNA	0
EDOYA	0
EDUARDA	0
EDURNE	0
EDUVIGIS	0
EDUVINA	0
EDWINA	0
EDYTHE	0
EFIGENIA	0
EGLIS	0
EGUSKIE	0
EGUZKIE	0
EIFANIA	0
EILA	0
EILYN	0
ELA	0
ELADIA	0
ELADINA	0
ELAINE	0
ELANA	0
ELBA	0
ELBIA	0
ELDA	0
ELEANA	0
ELECTA	0
ELEJABEITIA	0
ELEMENIA	0
ELEN	0
ELENA	0
ELENA ANGELES	0
ELENA ASUNCION	0
ELENA BEATRIZ	0
ELENA BELEN	0
ELENA CARMEN	0
ELENA CIRA	0
ELENA CONCEPCION	0
ELENA CRISTINA	0
ELENA ESPERANZA	0
ELENA FERNANDA	0
ELENA ISABEL	0
ELENA LORETO	0
ELENA MARGARITA	0
ELENA MARIA	0
ELENA MONICA	0
ELENA PILAR	0
ELENA RAQUEL	0
ELENA SUSANA	0
ELENA VICTORIA	0
ELENE	0
ELEONOR	0
ELEONORA	0
ELEUTERIA	0
ELGA	0
ELI	0
ELIA	0
ELIA MARIA	0
ELIANA	0
ELICA	0
ELICINIA	0
ELIDA	0
ELIDIA	0
ELIE	0
ELIGIA	0
ELIGIA MARIA	0
ELIGIA MARIA LOURDES	0
ELIHECER	0
ELILALIA	0
ELIMINA	0
ELIN	0
ELINA	0
ELIODORA	0
ELIONOR	0
